2022-05-02 18:01:45,197 - dash_client.py:506 - INFO - Downloading MPD file http://server/media/BigBuckBunny/4sec/BigBuckBunny_4s.mpd
time,Download Rate,next_bitrate
1,304787.538726,88783.0
1,554811.494995,128503.0
2,763428.85723,177437.0
2,809191.836991,217761.0
4,789455.349787,255865.0
5,804581.93828,323047.0
6,801913.547832,378355.0
8,806039.560166,509091.0
11,800882.39919,577751.0
14,801916.896624,577751.0
18,794690.808503,577751.0
21,788472.566032,577751.0
25,784223.037193,577751.0
29,781995.706015,577751.0
32,778909.180803,577751.0
34,777118.961019,577751.0
36,771925.242046,577751.0
39,770420.951874,577751.0
42,770635.219798,577751.0
45,768856.024137,577751.0
48,770291.760023,577751.0
52,768597.647232,577751.0
54,770770.727966,577751.0
56,767029.812882,577751.0
58,771373.148047,577751.0
59,844621.71976,577751.0
65,932113.548482,577751.0
71,898837.575421,577751.0
74,872488.924745,577751.0
76,894423.429913,577751.0
84,867973.089969,577751.0
87,846466.559938,577751.0
90,830978.298787,577751.0
93,868196.276827,577751.0
100,848236.655812,577751.0
104,830985.490532,577751.0
107,819063.664437,577751.0
110,807564.560737,577751.0
113,850161.420868,577751.0
120,833207.782598,577751.0
122,821817.270422,577751.0
124,861080.927458,577751.0
131,841290.68313,577751.0
133,825792.338429,577751.0
135,851549.943626,577751.0
143,835790.328068,577751.0
145,892713.050542,577751.0
152,867397.791303,577751.0
154,846419.042681,577751.0
157,907128.295361,577751.0
163,879196.266865,577751.0
166,855901.744196,577751.0
168,863700.518989,577751.0
176,844845.284779,577751.0
179,829860.562017,577751.0
182,813845.911013,577751.0
184,817326.03619,577751.0
191,807702.728136,577751.0
194,797232.050181,577751.0
196,835504.347344,577751.0
203,822116.888054,577751.0
206,811665.683501,577751.0
208,862296.579724,577751.0
215,844980.740028,577751.0
219,826389.664235,577751.0
221,873663.964146,577751.0
228,852157.443092,577751.0
231,833689.720999,577751.0
233,896419.126865,577751.0
241,870539.10604,577751.0
244,850061.711264,577751.0
247,832391.437299,577751.0
249,893738.170604,577751.0
255,865440.131342,577751.0
257,950203.275799,782553.0
259,1063330.88903,782553.0
265,1121515.54392,782553.0
267,1203113.63408,782553.0
274,1241628.35842,1008699.0
278,1214987.35894,1008699.0
283,1124947.60114,782553.0
288,1051750.1387,782553.0
292,993802.509564,782553.0
296,948329.158987,782553.0
301,911474.892404,577751.0
303,882694.527662,577751.0
306,859612.292914,577751.0
310,839741.242753,577751.0
313,824994.524556,577751.0
317,814178.148278,577751.0
322,956783.560744,782553.0
326,926949.182707,577751.0
330,893010.511894,577751.0
333,868019.81,577751.0
336,848577.666549,577751.0
341,985950.473089,782553.0
345,968919.515413,782553.0
350,1082316.36019,782553.0
352,1108004.77001,782553.0
358,1182228.42881,782553.0
361,1155599.23002,782553.0
367,1231343.6341,1008699.0
370,1187843.10075,782553.0
374,1103548.35095,782553.0
378,1035879.65797,782553.0
382,983196.806998,782553.0
387,938167.435432,577751.0
